Assemblage_Name	6779302-4-1529671	3460844-8907253-4	3460844-2-4	1-8833337-4	2907576-9932706-4	2-8432134-2	3906234-4-4	4-2-7467183	3460844-2-6652303	2-9266801-703543	4-1571280-1	1-9932706-4	6779302-5210111-4	3-1423135-4	1-851899-4	1-9932706-6362676	1-9932706-2369939	2-4-4259022	5166944-2-4	4-2-4330192	566605-9932706-4	1-5786127-4	6779302-4-5644916	4-8937439-3	2-4-5093656	1-7821445-4	4-760152-3	1-2019397-4	6068412-4-4	4-2-9501159	2-4-2	2-1400741-2	7644183-9932706-4	2-4-703543	6779302-1707425-4	4-2-3	4-2-1	2-9307250-2	6779302-4-918683	5044815-4-703543	6779302-4-3619123	1-4-4	1-9932706-8482261	3-2-6673817	3460844-7163423-4	8994230-2-4	1-1731124-4	7017116-4-4	6779302-4-4	3-2-4	7123588-2-4	899072-2-4	6779302-5372325-4
assemblage-928-943	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	180	0	0	7	0	5	0	0	0	0	0	0	0	47	0	0	0	16
assemblage-984-775	0	0	39	0	30	0	0	0	0	0	0	47	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	2	0	0	35	0	27	5	0	0	0	0	0	0	0	0	0	0	0	190	83	0	0	2
assemblage-896-831	0	0	141	0	23	0	0	22	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-866-568	0	0	55	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	68	0	0	42	0	128	3	0	0	0	0	0	0	0	0	0	0	0	12	63	0	0	12
assemblage-190-406	0	0	55	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	54	0	0	128	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	6
assemblage-527-780	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	5	0	0	0	0	7	385	0	0	0	9
assemblage-936-773	0	0	88	0	0	86	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	9	82	0	0	0	0	0	0	0	0	0	0	0	72	50	0	6	10
assemblage-627-775	0	0	12	0	0	0	0	0	0	6	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	96	0	0	6	0	0	0	0	0	0	0	0	0	106	0	0	0	7
assemblage-602-776	0	0	14	0	0	0	0	0	0	4	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	66	0	0	5	0	0	0	0	0	0	0	0	0	128	0	0	0	6
assemblage-116-151	0	0	7	0	0	0	0	68	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	132	0	0	0	0	0	0	0	0	0	0	0	0	51	77	0	0	4
assemblage-97-795	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	10	0	0	18	0	0	8	6	0	0	0	0	0	0	4	0	158	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	4
assemblage-944-801	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	101	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	3
assemblage-745-591	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	98	0	48	0	0	14	0	0	0	0	0	0	0	0	0	222	0	0	0	13
assemblage-541-768	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	28	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	7
assemblage-1000-776	0	0	0	0	0	0	0	62	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	21	0	0	121	0	0	38	0	0	0	0	0	0	0	0	3	0	0	39	93	0	0	17
assemblage-956-899	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	55	0	0	0	0	0	12	0	0	0	0	0	0	411	0	0	0	4
assemblage-504-675	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	5	0	0	0	0	56	15	0	4
assemblage-983-757	0	0	148	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	221	0	23	0	0	0	0	0	0	0	0	0	0	0	0	21	24	0	0	12
