Assemblage_Name	3612469-4-0	1-9917792-3	4-7121248-4130772	1-2-1862753	3383144-7121248-3624132	4354244-2-3	1586621-2-3	4-7121248-3624132	1-2-7063353	7125916-7121248-3624132	4-7121248-4634235	4929451-7121248-3624132	7587474-9447352-3	4804733-2-3	3-1-4	9527511-7121248-3624132	1-2-8246538	1-4716228-3	1-6920418-3	4386512-2-3	1-3277181-1862753	1-2184538-1862753	1-1683227-3	4-1-3624132	1-1857450-3	5947481-2-3	1-2754858-1862753	4-7121248-7926316	1-6055490-3	4-7648477-3624132	9880719-8457693-4	1-2-1172892	1-8457693-4	1-2-3	1-2-4	1-9447352-3	4-7121248-8925099	1-4-4	3904273-2-3	4-1411017-3624132	4-9142428-3624132	1-5184650-1862753	4-7121248-2305452	4-7121248-3493997	4-3976132-3624132	3209685-2-3	4820574-1-3624132	4-6904276-3624132
assemblage-802-759	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-278-731	0	0	0	45	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-797-468	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-389-888	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	208	0	94	0	60	0	0	0	0	0	0	38	0	0	2
assemblage-436-686	0	0	0	109	0	0	0	266	0	0	17	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-515-704	0	0	0	0	0	0	0	215	46	0	0	0	0	0	0	0	9	0	0	0	0	18	36	0	0	0	0	0	0	0	0	0	5	167	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-909-174	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	232	0	4	0	58	0	3	0	0	0	0	0	0	0	3
assemblage-959-327	67	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	21	0	0	34	0	0	0	0	0	0	0	0	0	15
assemblage-246-243	0	0	0	25	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-516-349	17	0	0	0	0	0	0	114	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	205	0	0	0	92	0	0	0	0	0	0	36	0	0	22
assemblage-827-761	0	0	0	16	18	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-963-273	0	0	0	48	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	112	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-207-404	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	218	0	97	0	73	0	0	0	0	0	0	35	0	0	4
assemblage-483-866	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	8	39	135	0	173	0	49	0	0	0	0	0	0	0	0	0	7
assemblage-917-808	0	0	0	49	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-106-537	0	0	0	124	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	12	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-463-898	5	0	0	0	0	0	0	85	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	185	0	0	0	85	0	0	0	0	0	0	90	0	0	10
assemblage-390-425	0	0	0	44	0	0	0	189	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	22	185	0	1	0	18	0	0	0	0	0	0	0	0	0	6
assemblage-962-300	0	0	0	52	0	0	0	91	0	0	0	0	0	19	0	0	0	0	14	0	0	0	11	0	15	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	12	0	0	0	0	11
assemblage-536-360	26	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	146	0	0	0	259	0	0	0	0	0	0	0	0	12	5
assemblage-379-824	0	0	0	86	12	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-865-797	9	0	0	0	0	0	0	142	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	271	0	0	0	11	0	0	12	0	0	0	0	0	0	4
