Assemblage_Name	4719486-2-4	1687261-0-1002990	1-0-0	4516298-6332063-0	4-2-2396106	4-2-2241289	4099312-0-1002990	6984742-0-1002990	3-4-4	4875057-2-4	3312714-0-0	6866445-4-4	8771985-0-1002990	3-4-8471988	1-0-806143	1-5944926-0	0-1-2052427	4516298-4-0	7961240-4-0	0-6559865-6409054	1-0-7474530	4516298-4-152506	1-0-9139664	1-916113-1002990	1-5491576-0	0-1-6409054	4-2-4	0-1-5751737	4246693-4-0	1-0-8097017	1-0-1002990	4516298-6119732-0	765562-2-4	4516298-3826494-0	4516298-4-5345766	8771985-0-301016	0-1-4474401	1-8968032-0	3271942-0-1002990
assemblage-343-236	0	0	157	8	0	0	0	0	0	0	0	0	103	0	0	0	0	118	0	0	11	0	0	0	0	32	32	0	0	0	36	0	0	0	0	0	0	0	3
assemblage-152-958	0	0	82	0	0	0	0	0	0	0	0	0	82	0	0	0	0	55	0	0	0	0	0	0	0	136	104	0	0	0	38	0	0	0	0	0	0	0	3
assemblage-503-944	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	102	0	0	0	9	0	0	0	155	73	0	0	0	31	0	0	0	0	0	0	0	11
assemblage-150-176	0	0	131	0	0	0	0	0	64	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	77	29	0	0	0	117	0	0	0	0	0	0	0	2
assemblage-537-763	0	0	51	48	0	13	0	0	5	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	105	122	0	0	0	111	0	0	0	0	0	0	0	1
assemblage-911-277	52	0	201	27	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	31	0	0	0	0	0	0	0	11
assemblage-500-534	32	0	116	35	0	7	0	0	7	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	115	18	0	0	0	114	0	0	0	0	0	0	0	5
assemblage-594-237	0	0	152	0	0	0	0	0	0	0	0	0	55	0	0	0	0	126	0	0	0	0	12	0	0	55	19	0	0	0	76	0	0	0	0	0	0	0	5
assemblage-790-466	32	0	73	34	0	0	0	0	34	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	23	129	0	0	0	60	0	0	0	0	0	0	0	3
assemblage-235-826	0	0	18	0	0	0	0	0	86	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	221	87	0	0	0	12	0	0	0	0	0	0	0	10
assemblage-585-209	0	0	134	0	0	0	0	0	0	0	0	0	90	0	0	0	0	129	0	0	0	0	0	0	0	24	114	0	0	0	6	0	0	0	0	0	0	0	3
assemblage-285-119	0	0	65	0	0	0	0	0	51	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	101	100	0	0	0	75	0	0	0	0	0	0	0	8
assemblage-936-250	31	0	63	14	0	0	0	0	39	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	20	146	0	0	0	58	0	0	0	0	0	0	0	3
assemblage-988-353	0	0	161	0	0	0	0	0	0	0	0	0	86	0	0	0	0	161	0	0	0	0	0	0	0	0	19	0	0	0	65	0	0	0	0	0	0	0	8
assemblage-692-481	0	0	173	0	0	0	0	0	0	0	0	0	101	0	0	0	0	15	0	0	0	0	0	0	0	80	107	0	0	0	24	0	0	0	0	0	0	0	0
assemblage-497-531	49	0	27	78	0	0	0	0	8	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	160	0	0	0	28	0	0	0	0	0	0	0	13
assemblage-604-675	0	0	51	65	0	6	0	0	11	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	99	121	0	0	0	90	0	0	0	0	0	0	0	6
assemblage-481-156	47	0	129	53	0	7	0	0	10	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	80	15	0	0	0	96	0	0	0	0	0	0	0	1
assemblage-465-144	4	0	50	7	0	0	0	0	102	0	0	18	0	0	0	0	0	101	0	0	0	0	0	0	0	161	43	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-607-238	0	0	126	0	0	0	0	0	0	0	0	0	51	0	0	0	0	235	0	0	17	0	0	0	0	56	0	0	0	0	13	0	0	0	0	0	0	0	2
assemblage-508-917	0	0	105	0	0	0	0	0	37	0	0	0	0	0	0	0	0	115	0	0	0	14	0	0	0	101	107	0	0	0	18	0	0	0	0	0	0	0	3
assemblage-806-986	48	0	199	26	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	40	0	0	0	0	0	0	0	2
assemblage-666-410	0	0	103	0	0	0	0	0	0	0	0	0	119	0	0	0	0	95	0	0	0	0	0	0	0	162	15	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-667-848	0	0	79	5	0	0	0	0	0	0	0	0	138	0	0	0	0	5	0	0	0	0	0	0	0	6	83	0	0	0	182	0	0	0	0	0	0	0	2
assemblage-763-893	0	0	87	0	0	0	0	0	97	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	130	0	0	0	0	11	0	0	0	0	0	0	0	16
assemblage-991-355	0	0	142	12	0	0	0	0	0	0	0	0	103	0	0	0	0	118	0	0	11	0	0	0	0	24	57	0	0	0	28	0	0	0	0	0	0	0	5
assemblage-711-905	0	0	88	11	0	0	0	0	0	0	0	0	122	0	0	0	0	110	0	0	0	0	0	0	0	0	102	0	0	0	63	0	0	0	0	0	0	0	4
assemblage-405-331	0	0	126	0	0	0	0	0	0	0	0	0	73	0	0	0	0	123	0	0	0	0	9	0	0	62	24	0	0	0	83	0	0	0	0	0	0	0	0
assemblage-267-347	0	18	216	0	0	0	0	0	0	0	0	0	144	0	0	0	0	22	0	0	0	0	0	0	0	0	36	0	0	0	46	0	0	0	0	0	0	0	18
assemblage-702-912	0	16	218	3	0	0	0	0	0	0	0	0	131	0	0	0	0	24	0	0	0	0	0	0	0	0	60	0	0	0	37	0	0	0	0	0	0	0	11
assemblage-520-527	0	0	49	52	0	12	0	0	5	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	107	127	0	0	0	98	0	0	0	0	0	0	0	2
assemblage-471-319	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	81	0	0	0	0	122	0	0	0	0	0	0	0	2
assemblage-302-569	0	0	153	0	0	0	0	0	0	0	0	0	91	0	0	0	0	27	0	0	33	0	0	0	0	33	117	0	0	0	43	0	0	0	0	0	0	0	3
assemblage-499-512	0	0	54	55	0	6	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	122	132	0	0	0	90	0	0	0	0	0	0	0	6
